theta C_p
92.14248825959078 -1.00076
92.99999511131337 -0.998985
93.00009810211408 -0.998984
93.85761839407117 -0.996737
93.85773272579374 -0.996737
94.71476028775324 -0.994046
94.71487449134264 -0.994046
95.57162226973924 -0.990942
95.57171350965287 -0.990942
96.42838480561159 -0.987443
96.42848728940976 -0.987443
97.28522595501282 -0.983568
97.28534278594077 -0.983567
98.14237489110897 -0.979334
98.14249321371142 -0.979334
99.00000408218827 -0.974772
99.00009462660887 -0.974771
99.8576253649583 -0.969893
99.85772697452067 -0.969893
100.71477450478297 -0.964728
100.71488709825584 -0.964727
101.57167897505973 -0.959302
101.57167897505973 -0.959302
102.42840481904294 -0.953634
102.42851672491763 -0.953633
103.28526921339196 -0.947739
103.28538073796818 -0.947738
104.14232739320563 -0.941634
104.14243851138967 -0.941634
105.00002061281586 -0.935344
105.00013129943446 -0.935343
105.85759633284907 -0.928882
105.85770656317622 -0.928881
106.71477507882666 -0.922274
106.71488482845339 -0.922273
107.57160654089672 -0.915542
107.57171578540851 -0.915542
108.42838993732686 -0.9087
108.42853487696054 -0.908699
109.28524400504428 -0.901761
109.28535216612138 -0.90176
110.14232471888181 -0.894738
110.14243230174819 -0.894737
110.99997039018957 -0.887649
111.00007737041157 -0.887649
111.857607523841 -0.880507
111.85775654005135 -0.880506
112.71474667218163 -0.873333
112.71485237564784 -0.873332
113.57164321710347 -0.866142
113.57174824700328 -0.866141
114.42838262110523 -0.858943
114.42848695409167 -0.858942
115.28526052404722 -0.851747
115.28536413660555 -0.851746
116.14236380671878 -0.844562
116.14251716499105 -0.844561
117.00003820116231 -0.837399
117.00003820116231 -0.837399
117.85755358665885 -0.830269
117.85770844398962 -0.830268
118.71474457090471 -0.823186
118.71484507002407 -0.823186
119.57159252345716 -0.816161
119.57174874015723 -0.81616
120.42840149692074 -0.809197
120.42850030470393 -0.809196
121.28524948945025 -0.8023
121.2853474182749 -0.8023
122.14238552322573 -0.795476
122.14248255090749 -0.795475
123.00000168172409 -0.788728
123.00009778601952 -0.788728
123.85762207867202 -0.782064
123.85771723805178 -0.782063
