x_1 rho
0.01141357 0.2956454311695922
0.01147461 0.2956494467487353
0.01153564 0.29565348380504297
0.01159668 0.29565754233949754
0.01165771 0.29566162235307936
0.01171875 0.29566572384679357
0.01177979 0.2956698468216336
0.01184082 0.2956739912786177
0.01190186 0.29567815721875307
0.01196289 0.295682344643061
0.01202393 0.2956865535525802
0.01208496 0.2956907839483446
0.012146 0.2956950358313535
0.01220703 0.2956993092026877
0.01226807 0.29570360406338325
0.0123291 0.29570792041449484
0.01239014 0.2957122582570869
0.01245117 0.29571661759222234
0.01251221 0.2957209984209539
0.01257324 0.29572540074439047
0.01263428 0.2957298245636072
0.01269531 0.295734269879685
0.01275635 0.2957387366937235
0.01281738 0.2957432250068142
0.01287842 0.295747734820088
0.01293945 0.2957522661346342
0.01300049 0.29575681895157685
